Title,Year,Genre
The Shawshank Redemption,1994,Drama
The Godfather,1972,"Crime, Drama"
The Dark Knight,2008,"Action, Crime, Drama"
Pulp Fiction,1994,"Crime, Drama"
Schindler's List,1993,"Biography, Drama, History"
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama"
Forrest Gump,1994,"Drama, Romance"
Inception,2010,"Action, Adventure, Sci-Fi"
Fight Club,1999,"Drama, Fight"
The Matrix,1999,"Action, Sci-Fi"
